id; similarity
14220; None
14221; None
14222; None
14223; None
14224; None
14225; None
14226; None
14227; None
14228; None
14229; None
14230; None
14231; None
14232; None
14233; None
14234; None
14235; Belongs to the cytochrome P450 family.
14236; None
14237; None
14238; None
14239; None
14240; None
14241; None
14242; None
14243; None
14244; None
14245; None
14246; Contains helicase ATP-binding domain., Contains helicase C-terminal domain.
14247; None
14248; None
14249; None
14250; None
14251; None
14252; None
14253; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
14254; None
14255; Belongs to the cytochrome P450 family.
14256; None
14257; None
14258; None
14259; Belongs to the aldehyde dehydrogenase family.
14260; Contains 0 S1-like domains.
14261; None
14262; None
14263; None
14264; None
14265; None
14266; None
14267; None
14268; None
14269; None
14270; None
14271; None
14272; Belongs to the sulfotransferase 1 family.
14273; Contains 0 F-box domain.
14274; None
14275; None
14276; None
14277; None
14278; Contains NAC domain.
14279; Belongs to the ribosomal protein S2P family.
14280; None
14281; None
14282; None
14283; None
14284; None
14285; None
14286; None
14287; None
14288; Contains protein kinase domain.
14289; None
14290; None
14291; None
14292; None
14293; None
14294; None
14295; None
14296; None
14297; Belongs to the protein kinase superfamily.
14298; None
14299; None
14300; None
14301; None
14302; None
14303; None
14304; None
14305; None
14306; Belongs to the glycosyl hydrolase 16 family.
14307; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.
14308; None
14309; Belongs to the 3-beta-HSD family.
14310; None
14311; None
14312; None
14313; None
14314; None
14315; None
14316; None
14317; Belongs to the peptidase S8 family., Contains peptidase S8 domain.
14318; None
14319; None
14320; None
14321; None
14322; None
14323; None
14324; None
14325; None
14326; Belongs to the DEAD box helicase family.
14327; None
14328; None
14329; None
14330; Contains 0 ANK repeats., Contains 0 BTB (POZ) domains.
14331; None
14332; Contains 0 F-box domain.
14333; Belongs to the aldehyde dehydrogenase family.
14334; None
14335; None
14336; None
14337; Belongs to the chalcone/stilbene synthases family.
14338; None
14339; None
14340; None
14341; None
14342; None
14343; None
14344; None
14345; None
14346; None
14347; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
14348; None
14349; None
14350; None
14351; None
14352; None
14353; None
14354; None
14355; None
14356; None
14357; None
14358; None
14359; None
14360; None
14361; Belongs to the heme-copper respiratory oxidase family.
14362; Contains 0 MADS-box domains.
14363; None
14364; None
14365; None
14366; None
14367; None
14368; None
14369; None
14370; None
14371; None
14372; None
14373; None
14374; None
14375; None
14376; None
14377; None
14378; None
14379; Contains peptidase S8 domain.
14380; None
14381; None
14382; Contains ubiquitin-like domain.
14383; None
14384; None
14385; None
14386; None
14387; Contains G-patch domain.
14388; None
14389; None
14390; Belongs to the peptidase S10 family.
14391; Contains 0 Rieske domains.
14392; Belongs to the mitochondrial carrier (TC 2.A.29) family.
14393; None
14394; None
14395; None
14396; None
14397; Contains 0 basic helix-loop-helix (bHLH) domains.
14398; None
14399; None
14400; None
14401; None
14402; None
14403; None
14404; None
14405; None
14406; None
14407; None
14408; None
14409; None
14410; Contains 0 F-box domain.
14411; None
14412; None
14413; Belongs to the V-ATPase proteolipid subunit family.
14414; None
14415; None
14416; None
14417; None
14418; None
14419; None
14420; None
14421; None
14422; None
14423; None
14424; None
14425; None
14426; None
14427; None
14428; None
14429; Belongs to the cytochrome P450 family.
14430; Contains 0 MADS-box domains.
14431; None
14432; None
14433; None
14434; None
14435; None
14436; None
14437; None
14438; None
14439; None
14440; None
14441; None
14442; None
14443; None
14444; None
14445; None
14446; Contains NAC domain.
14447; None
14448; None
14449; None
14450; None
14451; None
14452; None
14453; None
14454; None
14455; None
14456; None
14457; None
14458; Contains protein kinase domain.
14459; None
14460; None
14461; None
14462; Belongs to the cyclophilin-type PPIase family., Contains 0 PPIase cyclophilin-type domains.
14463; None
14464; None
14465; None
14466; None
14467; None
14468; None
14469; None
14470; Belongs to the UDP-glycosyltransferase family.
14471; None
14472; None
14473; None
14474; Contains 0 F-box domain.
14475; None
14476; None
14477; Belongs to the peptidase C1 family.
14478; None
14479; Belongs to the expansin family., Contains expansin-like CBD domain., Contains expansin-like EG45 domain.
14480; None
14481; Belongs to the pectinesterase family.
14482; None
14483; None
14484; None
14485; None
14486; None
14487; Contains protein kinase domain.
14488; None
14489; None
14490; None
14491; Contains 0 reverse transcriptase domains.
14492; None
14493; None
14494; Belongs to the ABC transporter superfamily., Contains ABC transmembrane type-1 domains.
14495; None
14496; None
14497; None
14498; Belongs to the glycosyl hydrolase 17 family.
14499; Belongs to the UDP-glycosyltransferase family.
14500; None
14501; None
14502; None
14503; None
14504; None
14505; None
14506; Belongs to the GroES chaperonin family.
14507; None
14508; None
14509; None
14510; None
14511; None
14512; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family.
14513; None
14514; None
14515; None
14516; None
14517; None
14518; None
14519; None
14520; None
14521; None
14522; Belongs to the class-I aminoacyl-tRNA synthetase family.
14523; None
14524; None
14525; None
14526; None
14527; Contains 0 reverse transcriptase domains.
14528; Belongs to the cytochrome P450 family.
14529; None
14530; None
14531; None
14532; Contains 0 basic helix-loop-helix (bHLH) domains.
14533; Belongs to the class-II aminoacyl-tRNA synthetase family.
14534; Belongs to the metallophosphoesterase superfamily. Purple acid phosphatase family.
14535; None
14536; None
14537; Belongs to the glycosyl hydrolase 31 family.
14538; None
14539; Contains AP2/ERF DNA-binding domain.
14540; None
14541; None
14542; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
14543; None
14544; Belongs to the cytochrome P450 family.
14545; None
14546; Contains SEC7 domain.
14547; Belongs to the glycosyltransferase 8 family.
14548; None
14549; None
14550; None
14551; Belongs to the UDP-glycosyltransferase family.
14552; None
14553; None
14554; None
14555; None
14556; None
14557; None
14558; Belongs to the protein kinase superfamily.
14559; None
14560; None
14561; Belongs to the cytochrome P450 family.
14562; None
14563; None
14564; None
14565; None
14566; Belongs to the peptidase M3 family.
14567; None
14568; None
14569; None
14570; None
14571; None
14572; None
14573; None
14574; None
14575; Contains 0 F-box domain.
14576; None
14577; Belongs to the auxin efflux carrier (TC 2.A.69.1) family.
14578; None
14579; None
14580; None
14581; None
14582; None
14583; Belongs to the protein kinase superfamily.
14584; None
14585; Belongs to the ERD2 family.
14586; None
14587; None
14588; Contains 0 reverse transcriptase domains.
14589; None
14590; None
14591; None
14592; None
14593; None
14594; Contains 0 C2 domains., Contains Arf-GAP domain.
14595; None
14596; None
14597; None
14598; Contains cyclic nucleotide-binding domain.
14599; None
14600; None
14601; None
14602; Belongs to the cytochrome P450 family.
14603; None
14604; None
14605; None
14606; None
14607; None
14608; None
14609; Contains ubiquitin-like domain.
14610; None
14611; None
14612; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
14613; None
14614; None
14615; Belongs to the protein kinase superfamily.
14616; None
14617; None
14618; None
14619; None
14620; None
14621; Contains 0 reverse transcriptase domains.
14622; None
14623; None
14624; None
14625; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
14626; None
14627; None
14628; None
14629; Contains protein kinase domain.
14630; None
14631; None
14632; None
14633; None
14634; None
14635; None
14636; None
14637; None
14638; None
14639; None
14640; None
14641; None
14642; None
14643; None
14644; None
14645; None
14646; Contains 0 basic helix-loop-helix (bHLH) domains.
14647; Belongs to the SLC26A/SulP transporter (TC 2.A.53) family., Contains 0 STAS domains.
14648; None
14649; Contains 0 F-box domain.
14650; None
14651; None
14652; Contains 0 F-box domain.
14653; None
14654; None
14655; Contains 0 MADS-box domains.
14656; Contains 0 BTB (POZ) domains.
14657; None
14658; Belongs to the peptidase S14 family.
14659; None
14660; None
14661; None
14662; None
14663; None
14664; None
14665; Belongs to the protein kinase superfamily.
14666; Contains 0 basic helix-loop-helix (bHLH) domains.
14667; None
14668; Belongs to the type IA topoisomerase family.
14669; Contains 0 PPIase FKBP-type domains.
14670; None
14671; None
14672; None
14673; None
14674; None
14675; Contains 0 basic helix-loop-helix (bHLH) domains.
14676; None
14677; None
14678; Belongs to the alternative oxidase family.
14679; None
14680; Contains protein kinase domain.
14681; None
14682; None
14683; None
14684; Contains AGC-kinase C-terminal domain.
14685; None
14686; None
14687; None
14688; Belongs to the heat shock protein 70 family.
14689; None
14690; None
14691; None
14692; None
14693; None
14694; Belongs to the ribosomal protein S27e family.
14695; None
14696; None
14697; None
14698; None
14699; None
14700; None
14701; None
14702; None
14703; None
14704; None
14705; None
14706; None
14707; None
14708; None
14709; None
14710; None
14711; None
14712; None
14713; Belongs to the peptidase A1 family.
14714; None
14715; None
14716; None
14717; None
14718; None
14719; Belongs to the pectinesterase family.
14720; None
14721; None
14722; None
14723; None
14724; None
14725; None
14726; None
14727; None
14728; None
14729; Belongs to the glycosyl hydrolase 38 family.
14730; None
14731; None
14732; Belongs to the cytochrome P450 family.
14733; Belongs to the protein kinase superfamily.
14734; None
14735; None
14736; None
14737; Contains NAC domain.
14738; None
14739; None
14740; Contains 0 F-box domain.
14741; Belongs to the protein kinase superfamily.
14742; None
14743; None
14744; Contains AP2/ERF DNA-binding domain.
14745; None
14746; None
14747; Contains protein kinase domain.
14748; None
14749; None
14750; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.
14751; None
14752; None
14753; None
14754; None
14755; Belongs to the small GTPase superfamily. Arf family.
14756; None
14757; None
14758; None
14759; None
14760; None
14761; None
14762; Belongs to the protein kinase superfamily.
14763; Belongs to the small GTPase superfamily. Arf family.
14764; None
14765; None
14766; None
14767; None
14768; None
14769; Belongs to the cytochrome P450 family.
14770; None
14771; None
14772; None
14773; None
14774; None
14775; None
14776; None
14777; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
14778; None
14779; Contains 0 ANK repeats.
14780; None
14781; None
14782; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
14783; Belongs to the ABC transporter superfamily.
14784; None
14785; None
14786; None
14787; None
14788; Belongs to the glycosyl hydrolase 28 family.
14789; None
14790; None
14791; None
14792; None
14793; None
14794; None
14795; Belongs to the heat shock protein 70 family.
14796; Belongs to the DHHC palmitoyltransferase family., Contains 0 DHHC-type zinc fingers.
14797; None
14798; None
14799; None
14800; None
14801; None
14802; None
14803; None
14804; None
14805; None
14806; None
14807; Contains 0 PPIase cyclophilin-type domains.
14808; None
14809; None
14810; None
14811; None
14812; None
14813; None
14814; None
14815; None
14816; None
14817; None
14818; None
14819; Contains NAC domain.
14820; None
14821; None
14822; Belongs to the eIF-3 subunit G family., Contains 1 RRM (RNA recognition motif) domain.
14823; None
14824; None
14825; None
14826; None
14827; None
14828; Contains 0 F-box domain.
14829; Belongs to the glycosyltransferase 8 family.
14830; Contains 0 SET domains., Contains 0 post-SET domains., Contains 0 pre-SET domains.
14831; None
14832; None
14833; None
14834; None
14835; None
14836; None
14837; None
14838; Belongs to the UDP-glycosyltransferase family.
14839; Belongs to the protein kinase superfamily.
14840; None
14841; None
14842; None
14843; None
14844; None
14845; None
14846; Contains 0 reverse transcriptase domains.
14847; None
14848; None
14849; None
14850; None
14851; None
14852; None
14853; None
14854; Belongs to the FMO family.
14855; None
14856; None
14857; Belongs to the pectinesterase family.
14858; None
14859; None
14860; None
14861; None
14862; None
14863; None
14864; None
14865; None
14866; None
14867; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
14868; None
14869; None
14870; None
14871; None
14872; Belongs to the ribosomal protein L19e family.
14873; None
14874; None
14875; None
14876; None
14877; None
14878; Belongs to the protein kinase superfamily., Contains protein kinase domain.
14879; Contains 0 basic helix-loop-helix (bHLH) domains.
14880; None
14881; None
14882; None
14883; None
14884; None
14885; None
14886; None
14887; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
14888; None
14889; None
14890; None
14891; Belongs to the mitochondrial carrier (TC 2.A.29) family.
14892; Contains 0 BTB (POZ) domains.
14893; Belongs to the metallophosphoesterase superfamily. Purple acid phosphatase family.
14894; None
14895; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.
14896; None
14897; None
14898; None
14899; None
14900; None
14901; None
14902; None
14903; None
14904; Belongs to the DP1 family.
14905; None
14906; None
14907; None
14908; Contains 0 basic helix-loop-helix (bHLH) domains.
14909; None
14910; None
14911; None
14912; None
14913; None
14914; None
14915; None
14916; None
14917; None
14918; None
14919; None
14920; None
14921; None
14922; None
14923; None
14924; None
14925; None
14926; None
14927; None
14928; None
14929; None
14930; None
14931; None
14932; Belongs to the ribosomal protein L14P family.
14933; None
14934; None
14935; None
14936; Contains AP2/ERF DNA-binding domain.
14937; Belongs to the ABC transporter superfamily., Contains ABC transmembrane type-1 domains.
14938; None
14939; None
14940; None
14941; None
14942; Belongs to the ribosome-inactivating protein family.
14943; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
14944; None
14945; Belongs to the small GTPase superfamily. Rab family.
14946; None
14947; None
14948; None
14949; None
14950; None
14951; None
14952; None
14953; Belongs to the ING family., Contains 0 PHD-type zinc fingers.
14954; None
14955; None
14956; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
14957; None
14958; None
14959; None
14960; Belongs to the cytochrome P450 family.
14961; Belongs to the FPP/GGPP synthase family.
14962; None
14963; None
14964; None
14965; None
14966; Belongs to the mitochondrial carrier (TC 2.A.29) family.
14967; Belongs to the RecA family.
14968; None
14969; None
14970; None
14971; None
14972; None
14973; None
14974; None
14975; None
14976; None
14977; Belongs to the MIP/aquaporin (TC 1.A.8) family.
14978; None
14979; None
14980; Belongs to the heat shock protein 70 family.
14981; None
14982; None
14983; None
14984; None
14985; None
14986; None
14987; None
14988; Belongs to the peptidase S10 family.
14989; None
14990; Contains 0 basic helix-loop-helix (bHLH) domains.
14991; None
14992; Contains SCP domain.
14993; None
14994; None
14995; Belongs to the RNA polymerase beta' chain family.
14996; None
14997; None
14998; None
14999; Belongs to the DNA polymerase type-Y family.
15000; None
15001; Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family.
15002; None
15003; Contains dynamin-type G (guanine nucleotide-binding) domain.
15004; None
15005; None
15006; None
15007; None
15008; None
15009; Contains 0 PPIase cyclophilin-type domains.
15010; None
15011; Belongs to the cytochrome P450 family.
15012; None
15013; None
15014; None
15015; None
15016; None
15017; None
15018; None
15019; None
15020; Contains CRAL-TRIO domain.
15021; None
15022; Belongs to the UDP-glycosyltransferase family.
15023; None
15024; None
15025; None
15026; None
15027; None
15028; Belongs to the cytochrome P450 family.
15029; None
15030; None
15031; None
15032; None
15033; Belongs to the protein kinase superfamily.
15034; Belongs to the UPP synthase family.
15035; None
15036; Contains 0 F-box domain.
15037; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.
15038; None
15039; None
15040; None
15041; None
15042; None
15043; None
15044; None
15045; None
15046; None
15047; None
15048; None
15049; None
15050; None
15051; None
15052; None
15053; None
15054; None
15055; None
15056; None
15057; None
15058; None
15059; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15060; None
15061; Contains FAD-binding FR-type domain., Contains ferric oxidoreductase domain.
15062; None
15063; None
15064; None
15065; None
15066; None
15067; None
15068; None
15069; None
15070; None
15071; None
15072; None
15073; None
15074; None
15075; None
15076; None
15077; Contains 0 PPIase FKBP-type domains.
15078; None
15079; None
15080; None
15081; None
15082; None
15083; None
15084; None
15085; None
15086; None
15087; None
15088; None
15089; None
15090; None
15091; None
15092; None
15093; None
15094; None
15095; Belongs to the ribosomal protein S9P family.
15096; None
15097; Belongs to the chalcone isomerase family.
15098; None
15099; None
15100; None
15101; Belongs to the ubiquitin-conjugating enzyme family.
15102; Belongs to the peptidase S8 family., Contains peptidase S8 domain.
15103; None
15104; None
15105; None
15106; None
15107; None
15108; None
15109; Belongs to the plant LTP family.
15110; None
15111; Belongs to the polyadenylate-binding protein type-1 family., Contains 0 PABC domains., Contains 0 RRM (RNA recognition motif) domains.
15112; None
15113; None
15114; Contains NAC domain.
15115; None
15116; None
15117; None
15118; Belongs to the pectinesterase family.
15119; None
15120; None
15121; None
15122; None
15123; Contains 0 F-box domain.
15124; Belongs to the ABC transporter superfamily.
15125; None
15126; Belongs to the histone deacetylase family. HD Type 1 subfamily.
15127; None
15128; None
15129; None
15130; None
15131; Contains PARP catalytic domain.
15132; Belongs to the cytochrome P450 family.
15133; None
15134; None
15135; None
15136; Belongs to the ribosome-inactivating protein family.
15137; None
15138; None
15139; None
15140; Belongs to the ubiquitin-conjugating enzyme family.
15141; None
15142; None
15143; None
15144; None
15145; None
15146; Belongs to the sulfotransferase 1 family.
15147; None
15148; None
15149; None
15150; Belongs to the protein kinase superfamily.
15151; None
15152; None
15153; Belongs to the protein kinase superfamily.
15154; Belongs to the mitochondrial carrier (TC 2.A.29) family.
15155; None
15156; None
15157; None
15158; None
15159; Belongs to the uridine kinase family.
15160; Belongs to the NOSIP family.
15161; None
15162; None
15163; Contains 0 F-box domain.
15164; None
15165; None
15166; None
15167; None
15168; Belongs to the SMC family.
15169; None
15170; None
15171; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family., Contains GED domain., Contains dynamin-type G (guanine nucleotide-binding) domain.
15172; None
15173; None
15174; None
15175; None
15176; None
15177; Belongs to the protein kinase superfamily., Contains protein kinase domain.
15178; None
15179; None
15180; None
15181; Contains 0 SET domains., Contains 0 post-SET domains.
15182; None
15183; None
15184; None
15185; None
15186; None
15187; None
15188; None
15189; Belongs to the cytochrome P450 family.
15190; None
15191; None
15192; None
15193; None
15194; None
15195; None
15196; None
15197; None
15198; Belongs to the ENY2 family.
15199; None
15200; None
15201; None
15202; None
15203; Belongs to the pirin family.
15204; None
15205; None
15206; None
15207; None
15208; None
15209; None
15210; None
15211; None
15212; None
15213; None
15214; None
15215; Contains NAC domain.
15216; None
15217; None
15218; Contains 0 MATH domains.
15219; None
15220; None
15221; None
15222; None
15223; None
15224; None
15225; None
15226; None
15227; None
15228; None
15229; None
15230; None
15231; None
15232; Contains TLC (TRAM/LAG1/CLN8) domain.
15233; Contains RRM (RNA recognition motif) domain.
15234; None
15235; None
15236; None
15237; None
15238; None
15239; None
15240; None
15241; Belongs to the protein kinase superfamily.
15242; None
15243; None
15244; None
15245; None
15246; None
15247; None
15248; None
15249; None
15250; Contains cyclic nucleotide-binding domain.
15251; None
15252; None
15253; None
15254; None
15255; None
15256; None
15257; None
15258; None
15259; None
15260; None
15261; None
15262; Belongs to the NDK family.
15263; None
15264; None
15265; None
15266; Belongs to the small heat shock protein (HSP20) family.
15267; None
15268; Belongs to the ATG3 family.
15269; None
15270; Contains NAC domain.
15271; None
15272; None
15273; None
15274; None
15275; Belongs to the protein kinase superfamily.
15276; None
15277; None
15278; Contains 0 BTB (POZ) domains.
15279; None
15280; None
15281; None
15282; None
15283; None
15284; None
15285; None
15286; None
15287; None
15288; None
15289; None
15290; Contains 0 C2 domains.
15291; None
15292; None
15293; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
15294; None
15295; None
15296; None
15297; None
15298; None
15299; None
15300; None
15301; None
15302; None
15303; None
15304; Contains 0 basic helix-loop-helix (bHLH) domains.
15305; None
15306; Contains 0 C2 domains., Contains 0 PI-PLC X-box domains., Contains 0 PI-PLC Y-box domains.
15307; None
15308; None
15309; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
15310; None
15311; None
15312; None
15313; Belongs to the protein kinase superfamily.
15314; None
15315; Belongs to the UDP-glycosyltransferase family.
15316; None
15317; None
15318; None
15319; None
15320; None
15321; None
15322; None
15323; None
15324; None
15325; None
15326; None
15327; None
15328; None
15329; None
15330; Contains Arf-GAP domain.
15331; Contains GED domain., Contains dynamin-type G (guanine nucleotide-binding) domain.
15332; Belongs to the peptidase C1 family.
15333; None
15334; None
15335; None
15336; None
15337; None
15338; None
15339; None
15340; None
15341; None
15342; None
15343; None
15344; None
15345; None
15346; None
15347; None
15348; None
15349; None
15350; None
15351; None
15352; None
15353; None
15354; Belongs to the UDP-glycosyltransferase family.
15355; None
15356; None
15357; None
15358; None
15359; None
15360; None
15361; None
15362; Contains 0 basic helix-loop-helix (bHLH) domains.
15363; Belongs to the GMC oxidoreductase family.
15364; None
15365; None
15366; None
15367; None
15368; None
15369; None
15370; None
15371; None
15372; None
15373; Belongs to the 3-hydroxyisobutyrate dehydrogenase family.
15374; Belongs to the EF-1-beta/EF-1-delta family.
15375; None
15376; None
15377; None
15378; None
15379; None
15380; None
15381; None
15382; None
15383; Contains 0 F-box domain.
15384; None
15385; None
15386; None
15387; None
15388; None
15389; None
15390; None
15391; None
15392; None
15393; None
15394; None
15395; None
15396; None
15397; None
15398; Belongs to the protein kinase superfamily.
15399; None
15400; Belongs to the peptidase S14 family.
15401; Contains 0 reverse transcriptase domains.
15402; None
15403; Contains NAC domain.
15404; None
15405; None
15406; None
15407; Belongs to the cyclophilin-type PPIase family., Contains 0 PPIase cyclophilin-type domains.
15408; None
15409; Belongs to the SHMT family.
15410; Belongs to the cytochrome P450 family.
15411; None
15412; None
15413; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.
15414; None
15415; None
15416; Belongs to the histone H2A family.
15417; None
15418; None
15419; None
15420; None
15421; None
15422; Belongs to the protein kinase superfamily.
15423; None
15424; None
15425; Belongs to the protein kinase superfamily.
15426; None
15427; None
15428; None
15429; None
15430; None
15431; None
15432; None
15433; None
15434; None
15435; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15436; None
15437; None
15438; None
15439; None
15440; None
15441; None
15442; None
15443; Contains 0 F-box domain.
15444; None
15445; None
15446; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15447; Belongs to the OXA1/ALB3/YidC family.
15448; None
15449; None
15450; None
15451; None
15452; None
15453; None
15454; None
15455; None
15456; None
15457; None
15458; None
15459; None
15460; None
15461; None
15462; None
15463; None
15464; None
15465; None
15466; None
15467; None
15468; Belongs to the peptidase C1 family.
15469; None
15470; None
15471; Belongs to the DP1 family.
15472; None
15473; None
15474; None
15475; None
15476; None
15477; None
15478; None
15479; Belongs to the annexin family., Contains 0 annexin repeats.
15480; None
15481; None
15482; None
15483; Belongs to the ribosome-inactivating protein family.
15484; None
15485; Contains NAC domain.
15486; Belongs to the glycosyl hydrolase 28 family.
15487; None
15488; None
15489; None
15490; None
15491; None
15492; None
15493; None
15494; None
15495; None
15496; Belongs to the AAA ATPase family.
15497; None
15498; None
15499; None
15500; None
15501; Contains ACB (acyl-CoA-binding) domain.
15502; None
15503; None
15504; Belongs to the ABC transporter superfamily.
15505; None
15506; None
15507; None
15508; Belongs to the peptidase M16 family.
15509; None
15510; Contains 0 F-box domain.
15511; None
15512; Contains peptidase S8 domain.
15513; None
15514; None
15515; None
15516; Contains 0 reverse transcriptase domains.
15517; None
15518; None
15519; None
15520; None
15521; None
15522; None
15523; None
15524; None
15525; None
15526; None
15527; None
15528; None
15529; None
15530; None
15531; None
15532; Contains 0 F-box domain.
15533; None
15534; None
15535; None
15536; Belongs to the small GTPase superfamily. Rab family.
15537; None
15538; None
15539; None
15540; None
15541; None
15542; Contains cytochrome b561 domain.
15543; None
15544; None
15545; Contains TLC (TRAM/LAG1/CLN8) domain.
15546; None
15547; None
15548; None
15549; None
15550; None
15551; None
15552; None
15553; None
15554; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
15555; None
15556; None
15557; None
15558; None
15559; Contains peptidase S8 domain.
15560; None
15561; None
15562; None
15563; None
15564; None
15565; None
15566; None
15567; None
15568; None
15569; None
15570; None
15571; None
15572; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15573; None
15574; None
15575; None
15576; None
15577; None
15578; None
15579; Belongs to the GST superfamily.
15580; None
15581; None
15582; None
15583; None
15584; None
15585; None
15586; None
15587; None
15588; None
15589; None
15590; None
15591; None
15592; None
15593; None
15594; Belongs to the cytochrome P450 family.
15595; None
15596; None
15597; None
15598; None
15599; None
15600; None
15601; None
15602; None
15603; None
15604; Contains 0 ANK repeats.
15605; None
15606; None
15607; Belongs to the glycosyl hydrolase 17 family.
15608; None
15609; Contains NAC domain.
15610; None
15611; Contains 0 C2 domains.
15612; None
15613; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
15614; None
15615; None
15616; None
15617; None
15618; None
15619; None
15620; None
15621; None
15622; None
15623; None
15624; Belongs to the plant dehydrin family.
15625; None
15626; None
15627; Contains 0 F-box domain.
15628; None
15629; Belongs to the RNase T2 family.
15630; None
15631; Belongs to the small GTPase superfamily. SAR1 family.
15632; None
15633; None
15634; None
15635; None
15636; None
15637; None
15638; Contains 0 F-box domain.
15639; Belongs to the small GTPase superfamily. SAR1 family.
15640; None
15641; Belongs to the YIP1 family.
15642; None
15643; None
15644; None
15645; None
15646; None
15647; Belongs to the UDP-glycosyltransferase family.
15648; None
15649; None
15650; None
15651; Belongs to the ribosomal protein S7P family.
15652; None
15653; None
15654; None
15655; None
15656; None
15657; Contains 0 F-box domain.
15658; None
15659; None
15660; None
15661; Belongs to the ATPase alpha/beta chains family.
15662; Belongs to the UDP-glycosyltransferase family.
15663; None
15664; None
15665; None
15666; None
15667; None
15668; None
15669; None
15670; None
15671; None
15672; None
15673; Contains 0 reverse transcriptase domains.
15674; None
15675; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily.
15676; None
15677; None
15678; Contains 0 C2 domains.
15679; Contains 0 F-box domain.
15680; None
15681; None
15682; Belongs to the E2F/DP family.
15683; None
15684; None
15685; None
15686; Belongs to the glycosyl hydrolase 20 family.
15687; None
15688; None
15689; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
15690; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIIA subfamily.
15691; Belongs to the small heat shock protein (HSP20) family.
15692; None
15693; None
15694; None
15695; None
15696; None
15697; Belongs to the ribosome-inactivating protein family.
15698; Belongs to the cytochrome P450 family.
15699; None
15700; None
15701; None
15702; Belongs to the protein kinase superfamily.
15703; None
15704; None
15705; None
15706; None
15707; None
15708; None
15709; Belongs to the protein kinase superfamily.
15710; None
15711; None
15712; Belongs to the cytochrome P450 family.
15713; None
15714; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15715; None
15716; Contains 0 MADS-box domains., Contains K-box domain.
15717; None
15718; Belongs to the UDP-glycosyltransferase family.
15719; Belongs to the ABC transporter superfamily., Contains ABC transmembrane type-1 domains.
15720; None
15721; Contains 0 F-box domain.
15722; None
15723; None
15724; None
15725; None
15726; None
15727; None
15728; Contains 0 SET domains., Contains 0 post-SET domains.
15729; None
15730; Belongs to the DP1 family.
15731; None
15732; None
15733; Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily.
15734; None
15735; None
15736; None
15737; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family.
15738; None
15739; None
15740; None
15741; None
15742; None
15743; None
15744; Contains AP2/ERF DNA-binding domain.
15745; None
15746; None
15747; None
15748; None
15749; None
15750; Belongs to the ribosomal protein L36e family.
15751; Belongs to the protein kinase superfamily.
15752; None
15753; None
15754; None
15755; None
15756; None
15757; Contains 0 F-box domain.
15758; None
15759; None
15760; None
15761; None
15762; None
15763; None
15764; None
15765; None
15766; None
15767; None
15768; None
15769; None
15770; Contains 0 BTB (POZ) domains.
15771; None
15772; None
15773; None
15774; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 0 Fe2OG dioxygenase domains.
15775; None
15776; None
15777; Belongs to the protein kinase superfamily.
15778; None
15779; None
15780; None
15781; None
15782; None
15783; Contains RING-type zinc finger.
15784; None
15785; None
15786; None
15787; None
15788; Contains 0 F-box domain.
15789; None
15790; None
15791; None
15792; None
